code,en,fr
AT,Austria,Autriche
CH,Switzerland,Suisse
CY,Cyprus,Chypre
DE,Germany,Allemagne
DK,Denmark,Danemark
EL,Greece,Grèce
ES,Spain,Espagne
FR,France,France
HU,Hungary,Hongrie
IT,Italy,Italie
MT,Malta,Malte
NL,Netherlands,Pays-Bas
NO,Norway,Norvège
SE,Sweden,Suède
UK,United Kingdom,Royaume-Uni
cit.Afgh,Afghanistan,Afghanistan
cit.Alba,Albania,Albanie
cit.Erit,Eritrea,Erythrée
cit.Iraq,Iraq,Irak
cit.Liby,Libya,Libye
cit.Mali,Mali,Mali
cit.Serb,Serbia,Serbie
cit.Soma,Somalia,Somalie
cit.Stat,Stateless,Apatride
cit.Syri,Syria,Syrie
cit.Ukra,Ukraine,Ukraine
cit.Koso,Kosovo,Kosovo
cit.Tota,Other countries,Autres pays
title.main,,Demandes d'asile en Europe
title2.main,,"En 2015, jusqu'à présent"
title3.main,,Si tous les pays européens avait 50000 habitants...
title.slide,,demandes d'asile y ont été déposées en 2015 jusqu'à mars
subtitle1.slide,,Si ce pays avait
subtitle2.slide,,"habitants, il y aurait eu"
subtitle3.slide,,demandes d'asile de:
