code,en,fr,de,it,pt,ar,zh,ru,es,ja
title,Asylum requests in Europe 1986-2014,Demandes d'asile déposées en Europe 1986-2014,In Europa gestellte Asylgesuche von 1986-2014,Domande d'asilo depositate in Europa 1986-2014,Pedidos de asilo na Europa 1986-2014,طلبات اللجوء المقدمة في أوروبا من 1986 إلى 2014,1986-2014年欧洲接收的难民申请总数,"Количество ходатайств о предоставлении убежища, поданных в Европе в 1986-2014 гг.",Solicitudes de asilo presentadas en Europa de 1986 a 2014,１９８６～２０１４年の欧州での難民申請件数
descr,All European countries are represented. Move the cursor or click on a region in the graphic.,Tous les pays européens sont considérés ici. Placez votre curseur ou tapotez sur une région du graphique pour voir les chiffres exacts d'un pays.,Alle europäischen Länder sind berücksichtigt. Bewegen Sie den Cursor oder klicken Sie in der Graphik auf eine Region,"Qui sono considerati tutti i paesi europei. Per vedere le cifre esatte di un paese, puntare il cursore o cliccare sulla regione nel grafico.",Todos os países europeus são considerados aqui. Coloque o cursor ou toque em uma região do gráfico para ver os números exatos de um país.,تم الأخذ بعين الإعتبار جميع البلدان الأوروبية. استخدم المؤشر أو اضغط على منطقة في الرسم البياني لمعرفة الأرقام الدقيقة لكل بلد,这里收录了欧洲所有国家。请用光标或手指点图片中的地区，查阅该国的精确数据。,Учтены все европейские страны. Начните передвигать курсор или кликните мышью на выбранный Вами регион,Todos los países europeos están considerados aquí. Sitúe su cursor o pulse sobre una región del gráfico para ver las cifras exactas de un país.,欧州各国の数字が見られます。ご覧になりたい地域にカーソルを合わせるか、タップして下さい。
y.lab,"Asylum requests per year, in thousands",Demandes d'asile annuelles en millers,Asylgesuche pro Jahr in Tausend,Domande d'asilo annuali in migliaia,Pedidos de asilo por ano em milhares,طلبات اللجوء السنوية بالآلاف,每年难民申请总数(单位：千),Ходатайства о предоставлении убежища в год в тысячах,Solicitudes de asilo anuales en millares,難民申請者数（単位：千人）
source,Eurostat,source: Eurostat,Eurostat,Fonte: Eurostat,fonte: Eurostat,المصدر: مكتب إحصاء الجماعات الأوروبية Eurostat,来源：欧盟统计局,Источник: Eurostat,Fuente: Eurostat,出典：欧州連合統計局
legend.country,European countries,Pays européens,Europäische Länder,Paesi europei,Paises europeus,البلدان الأوروبية,欧洲国家,Страны Европы,Países europeos ,欧州
legend.descr,Click to hide,(Cliquez pour masquer),"(Anklicken, um auszublenden)",(cliccare per nascondere),(Clique para esconder),اضغط لحجب المحتوى,(点击隐藏),"(кликните мышью, чтобы скрыть)",(Pulse para ocultar),（表示を消すにはクリックして下さい）
tooltip.ayslumdemand,Asylum requests,demandes d'asile,Asylgesuche,Domande d'asilo,Pedidos de asilo,طلبات اللجوء,难民申请数量,Ходатайства о предоставлении убежища,Solicitudes de asilo,難民申請件数
annotation.exYougoslavia,Beginning of the war in the former Yugoslavia,Début conflit en ex-Yougoslavie,Beginn des Krieges in Ex-Jugoslawien,Inizio conflitto ex-Jugoslavia,Início conflito ex-Jugoslávia,بداية الصراع في يوغوسلافيا السابقة,前南斯拉夫冲突初期,Начало войны в Югославии,Inicio del conflicto en la otrora Yugoslavia,旧ユーゴスラビアで紛争勃発
annotation.Kosovo,War in Kosovo,Guerre du Kosovo,Krieg in Kosovo,Guerra del Kosovo,Guerra do Kosovo,الحرب في كوسوفو,科索沃战争,Война в Косово,Guerra de Kosovo,コソボ紛争
annotation.Syria,Civil war in Syria,Guerre civile Syrie,Bürgerkrieg in Syrien,Guerra civile in Siria,Guerra civil na Síria,الحرب الأهلية في سوريا,叙利亚内战,Гражданская война в Сирии,Guerra civil siria,シリア内戦
iso.others,Other countries,autres pays,Andere Länder,Altri Paesi,outros países,بلدان أخرى,其他国家,Остальные страны,Otros países,その他の国
full.Austria,Austria,Autriche,Österreich,Austria,Áustria,النمسا,奥地利,Австрия,Austria ,オーストリア
full.autres,Other European countries,autres pays d'Europe,andere Länder Europas,Altri Paesi europei,outros países da Europa,بلدان أوروبية أخرى,其他欧洲国家,Другие страны Европы,Otros países de Europa,欧州その他の国
full.France,France,France,Frankreich,Francia,França,فرنسا,法国,Франция,Francia,フランス
full.Germany (until 1990 former territory of the FRG),Germany,Allemagne,Deutschland,Germania,Alemanha,ألمانيا,德国,Германия,Alemania,ドイツ
full.Hungary,Hungary,Hongrie,Ungarn,Ungheria,Hungria,هنغاريا (المجر),匈牙利,Венгрия,Hungría,ハンガリー
full.Italy,Italy,Italie,Italien,Italia,Itália,إيطاليا,意大利,Италия,Italia,イタリア
full.Netherlands,Netherlands,Pays-Bas,Niederlande,Olanda,Holanda,هولندا,荷兰,Нидерланды,Países Bajos,オランダ
full.Sweden,Sweden,Suède,Schweden,Svezia,Suécia,السويد,瑞典,Швеция,Suecia,スウェーデン
full.Switzerland,Switzerland,Suisse,Schweiz,Svizzera,Suíça,سويسرا,瑞士,Швейцария,Suiza,スイス
full.United Kingdom,United Kingdom,Royaume-Uni,Vereinigtes Königreich,Regno Unito,Reino Unido,المملكة المتحدة,英国,Великобритания,Reino Unido,英国
