"code","en"
"AT","Austria"
"CH","Switzerland"
"CY","Cyprus"
"DE","Germany (until 1990 former territory of the FRG)"
"EL","Greece"
"ES","Spain"
"FR","France"
"HU","Hungary"
"IT","Italy"
"MT","Malta"
"SE","Sweden"
"UK","United Kingdom"
"cit.Afgh","Afghanistan"
"cit.Alba","Albania"
"cit.Erit","Eritrea"
"cit.Iraq","Iraq"
"cit.Liby","Libya"
"cit.Paki","Pakistan"
"cit.Serb","Serbia"
"cit.Soma","Somalia"
"cit.Stat","Stateless"
"cit.Syri","Syria"
"cit.Ukra","Ukraine"
"cit.Koso","Kosovo (under United Nations Security Council Resolution 1244/99)"
"cit.Tota","Total"
